"Chinese","Traditional","Pinyin","Definition","Result"
"做","","zuò ","to do  / to make  / to produce  / to write  / to compose  / to act as  / to engage in  / to hold (a party)  / to be  / to become  / to function (in some capacity)  / to serve as  / to be used for  / to form (a bond or relationship)  / to pretend  / to feign  / to act a part  / to put on appearance","True"
"昨","","zuó ","yesterday","True"
"今年","","jīn nián ","this year","True"
"去年","","qù nián ","last year","True"
"明年","","míng nián ","next year","True"
"去","","qù ","to go  / to go to (a place)  / (of a time etc) last  / just passed  / to send  / to remove  / to get rid of  / to reduce  / to be apart from in space or time  / to die (euphemism)  / to play (a part)  / (when used either before or after a verb) to go in order to do sth  / (after a verb of motion indicates movement away from the speaker)  / (used after certain verbs to indicate detachment or separation)","True"
"旁边","旁邊","páng biān ","lateral  / side  / to the side  / beside","True"
"左边","左邊","zuǒ bian ","left  / the left side  / to the left of","True"
"右边","右邊","yòu bian ","right side  / right, to the right","True"
"旁","","páng ","beside  / one side  / other  / side  / self  / the right-hand side of split Chinese character, often the phonetic","True"
"左","","Zuǒ <br />zuǒ ","surname Zuo<br />left  / the Left (politics)  / east  / unorthodox  / queer  / wrong  / differing  / opposite  / variant of 佐","True"
"右","","yòu ","right (-hand)  / the Right (politics)  / west (old)","True"
"边","邊","biān <br />bian ","side  / edge  / margin  / border  / boundary  / CL: 個｜个 / simultaneously<br />suffix of a noun of locality","True"
"前面","","qián miàn ","ahead  / in front  / preceding  / above  / also pr. [qian2 mian5]","True"
"后面","後面","hòu miàn ","rear  / back  / behind  / later  / afterwards  / also pr. [hou4 mian5]","True"
"学校","學校","xué xiào ","school  / CL: 所","True"
"前","","qián ","front  / forward  / ahead  / first  / top (followed by a number)  / future  / ago  / before  / BC (e.g. 前293年)  / former  / formerly","True"
"后","","Hòu <br />hòu <br />hòu ","surname Hou<br />empress  / queen<br />back  / behind  / rear  / afterwards  / after  / later","True"
"校","","jiào <br />xiào ","to proofread  / to check  / to compare<br />school  / military officer  / CL: 所","True"
"走","","zǒu ","to walk  / to go  / to run  / to move (of vehicle)  / to visit  / to leave  / to go away  / to die (euph.)  / from  / through  / away (in compound verbs, such as 撤走)  / to change (shape, form, meaning)","True"
"到","","dào ","to (a place)  / until (a time)  / up to  / to go  / to arrive  / (verb complement denoting completion or result of an action)","True"
"路","","Lù <br />lù ","surname Lu<br />road  / CL: 條｜条 / journey  / route  / line (bus etc)  / sort  / kind","True"
"怎么","怎麼","zěn me ","how?  / what?  / why?","True"
"哪里","哪裏","nǎ lǐ <br />nǎ lǐ ","where?  / somewhere  / anywhere  / wherever  / nowhere (negative answer to question)  / humble expression denying compliment  / also written 哪裡｜哪里<br />where?  / somewhere  / anywhere  / wherever  / nowhere (negative answer to question)  / humble expression denying compliment","True"
"这里","這裡","zhè lǐ ","here","True"
"那里","那裏","nà li <br />nà li ","there  / that place  / also written 那裡｜那里<br />there  / that place","True"
"往","","wǎng ","to go (in a direction)  / to  / towards  / (of a train) bound for  / past  / previous","True"
"里","裡","lǐ <br />Lǐ <br />lǐ ","lining  / interior  / inside  / internal  / also written 裏｜里<br />Li (surname)<br />li, ancient measure of length, approx. 500 m  / neighborhood  / ancient administrative unit of 25 families  / (Tw) borough, administrative unit between the township 鎮｜镇 and neighborhood 鄰｜邻 levels","True"
"喜欢","喜歡","xǐ huan ","to like  / to be fond of","True"
"看","","kān <br />kàn ","to look after  / to take care of  / to watch  / to guard<br />to see  / to look at  / to read  / to watch  / to visit  / to call on  / to consider  / to regard as  / to look after  / to treat (an illness)  / to depend on  / to feel (that)  / (after verb) to give it a try  / Watch out! (for a danger)","True"
"书","書","Shū <br />shū ","abbr. for 書經｜书经<br />book  / letter  / document  / CL: 本, 冊｜册, 部 / to write","True"
"喜","","xǐ ","to be fond of  / to like  / to enjoy  / to be happy  / to feel pleased  / happiness  / delight  / glad","True"
"欢","歡","huān <br />huān <br />huān ","joyous  / happy  / pleased<br />hubbub  / clamor  / variant of 歡｜欢<br />a breed of horse  / variant of 歡｜欢","True"
"玩","","wán ","to play  / to have fun  / to trifle with  / toy  / sth used for amusement  / curio or antique (Taiwan pr. [wan4])  / to keep sth for entertainment","True"
"电脑","電腦","diàn nǎo ","computer  / CL: 臺｜台","True"
"游戏","遊戲","yóu xì ","game  / CL: 場｜场 / to play","True"
"脑","腦","nǎo ","brain  / mind  / head  / essence","True"
"游","","Yóu <br />yóu <br />yóu ","surname You<br />to swim  / variant of 遊｜游<br />to walk  / to tour  / to roam  / to travel","True"
"戏","戲","xì ","trick  / drama  / play  / show  / CL: 出, 場｜场, 臺｜台","True"
"听","","yǐn <br />tīng <br />tìng ","smile (archaic)<br />to listen  / to hear  / to obey  / a can (loanword from English ""tin"")  / classifier for canned beverages<br />(literary pronunciation, still advocated in Taiwan) to rule  / to sentence  / to allow","True"
"音乐","音樂","yīn yuè ","music  / CL: 張｜张, 曲, 段","True"
"歌","","gē ","song  / CL: 支, 首 / to sing","True"
"音","","yīn ","sound  / noise  / note (of musical scale)  / tone  / news  / syllable  / reading (phonetic value of a character)","True"
"乐","樂","Lè <br />Yuè <br />lè <br />yuè ","surname Le<br />surname Yue<br />happy  / cheerful  / to laugh<br />music","True"
"跳舞","","tiào wǔ ","to dance","True"
"唱","","chàng ","to sing  / to call loudly  / to chant","True"
"跳","","tiào ","to jump  / to hop  / to skip over  / to bounce  / to palpitate","True"
"舞","","wǔ ","to dance  / to wield  / to brandish","True"
"起床","","qǐ chuáng ","to get out of bed  / to get up","True"
"上学","上學","shàng xué ","to go to school  / to attend school","True"
"上班","","shàng bān ","to go to work  / to be on duty  / to start work  / to go to the office","True"
"早饭","早飯","zǎo fàn ","breakfast  / CL: 份, 頓｜顿, 次, 餐","True"
"床","","chuáng ","bed  / couch  / classifier for beds  / CL: 張｜张","True"
"班","","Bān <br />bān ","surname Ban<br />team  / class  / squad  / work shift  / ranking  / CL: 個｜个 / classifier for groups","True"
"从","從","Cóng <br />cóng <br />zòng ","surname Cong<br />from  / through  / via  / to follow  / to obey  / to engage in (an activity)  / never (in negative sentence)  / (Taiwan pr. [zong4]) retainer  / assistant  / accomplice  / related by common paternal grandfather or earlier ancestor<br />second cousin","True"
"睡觉","睡覺","shuì jiào ","to go to bed  / to sleep","True"
"午饭","午飯","wǔ fàn ","lunch  / CL: 份, 頓｜顿, 次, 餐","True"
"睡","","shuì ","to sleep  / to lie down","True"
"觉","覺","jiào <br />jué ","a nap  / a sleep  / CL: 場｜场<br />to feel  / to find that  / thinking  / awake  / aware","True"
"放学","放學","fàng xué ","to dismiss students at the end of the school day","True"
"下班","","xià bān ","to finish work  / to get off work","True"
"回","","huí <br />huí ","to circle  / to go back  / to turn around  / to answer  / to return  / to revolve  / Hui ethnic group (Chinese Muslims)  / time  / classifier for acts of a play  / section or chapter (of a classic book)<br />to curve  / to return  / to revolve","True"
"晚饭","晚飯","wǎn fàn ","evening meal  / dinner  / supper  / CL: 份, 頓｜顿, 次, 餐","True"
"放","","fàng ","to put  / to place  / to release  / to free  / to let go  / to let out  / to set off (fireworks)","True"
"钱","錢","Qián <br />qián ","surname Qian<br />coin  / money  / CL: 筆｜笔 / unit of weight, one tenth of a tael 兩｜两","True"
"块","塊","kuài ","lump (of earth)  / chunk  / piece  / classifier for pieces of cloth, cake, soap etc  / (coll.) classifier for money and currency units","True"
"只","","zhǐ <br />zhǐ <br />zhī ","only  / merely  / just  / but<br />grain that has begun to ripen  / variant of 衹｜只<br />classifier for birds and certain animals, one of a pair, some utensils, vessels etc","True"
"买","買","mǎi ","to buy  / to purchase","True"
"一共","","yī gòng ","altogether","True"
"毛","","Máo <br />máo ","surname Mao<br />hair  / feather  / down  / wool  / mildew  / mold  / coarse or semifinished  / young  / raw  / careless  / unthinking  / nervous  / scared  / (of currency) to devalue or depreciate  / classifier for Chinese fractional monetary unit ( = 角 , = one-tenth of a yuan or 10 fen 分)","True"
"共","","gòng ","common  / general  / to share  / together  / total  / altogether  / abbr. for 共產黨｜共产党, Communist party","True"
"信用卡","","xìn yòng kǎ ","credit card","True"
"收","","shōu ","to receive  / to accept  / to collect  / to put away  / to restrain  / to stop  / in care of (used on address line after name)","True"
"千","","qiān <br />qiān ","thousand<br />see 鞦韆｜秋千","True"
"信","","xìn ","letter  / mail  / CL: 封 / to trust  / to believe  / to profess faith in  / truthful  / confidence  / trust  / at will  / at random","True"
"用","","yòng ","to use  / to employ  / to have to  / to eat or drink  / expense or outlay  / usefulness  / hence  / therefore","True"
"卡","","kǎ <br />qiǎ ","to stop  / to block  / card  / CL: 張｜张, 片 / calorie  / cassette  / (computing) (coll.) slow<br />to block  / to be stuck  / to be wedged  / customs station  / a clip  / a fastener  / a checkpost  / Taiwan pr. [ka3]","True"
"贵","貴","guì ","expensive  / noble  / precious  / (honorific) your","True"
"便宜","","biàn yí <br />pián yi ","convenient<br />cheap  / inexpensive  / small advantages  / to let sb off lightly","True"
"现金","現金","xiàn jīn ","cash","True"
"便","","biàn <br />pián ","plain  / informal  / suitable  / convenient  / opportune  / to urinate or defecate  / equivalent to 就: then  / in that case  / even if  / soon afterwards<br />see 便宜","True"
"宜","","Yí <br />yí ","surname Yi<br />proper  / should  / suitable  / appropriate","True"
"金","","Jīn <br />jīn ","surname Jin  / surname Kim (Korean)  / Jurchen Jin dynasty (1115-1234)<br />gold  / chemical element Au  / generic term for lustrous and ductile metals  / money  / golden  / highly respected  / one of the eight ancient musical instruments 八音","True"
"太","","tài ","highest  / greatest  / too (much)  / very  / extremely","True"
"万","","Mò <br />Wàn <br />wàn ","see 万俟<br />surname Wan<br />ten thousand  / a great number","True"
"行","","háng <br />xíng ","row  / line  / commercial firm  / line of business  / profession  / to rank (first, second etc) among one's siblings (by age)  / (in data tables) row  / (Tw) column<br />to walk  / to go  / to travel  / a visit  / temporary  / makeshift  / current  / in circulation  / to do  / to perform  / capable  / competent  / effective  / all right  / OK!  / will do  / behavior  / conduct  / Taiwan pr. [xing4] for the behavior-conduct sense","True"
"想","","xiǎng ","to think  / to believe  / to suppose  / to wish  / to want  / to miss (feel wistful about the absence of sb or sth)","True"
"干","乾","Gān <br />gān <br />gān <br />gàn ","surname Gan<br />dry  / clean  / in vain  / dried food  / foster  / adoptive  / to ignore<br />to concern  / to interfere  / shield  / stem<br />tree trunk  / main part of sth  / to manage  / to work  / to do  / capable  / cadre  / to kill (slang)  / to fuck (vulgar)","True"
"影","","yǐng ","picture  / image  / film  / movie  / photograph  / reflection  / shadow  / trace","True"
"视","視","shì ","to look at  / to regard  / to inspect","True"
"电视","電視","diàn shì ","television  / TV  / CL: 臺｜台, 個｜个","True"
"电影","電影","diàn yǐng ","movie  / film  / CL: 部, 片, 幕, 場｜场","True"
"报纸","報紙","bào zhǐ ","newspaper  / newsprint  / CL: 份, 期, 張｜张","True"
"上网","上網","shàng wǎng ","to go online  / to connect to the Internet  / (of a document etc) to be uploaded to the Internet  / (tennis, volleyball etc) to move in close to the net","True"
"报","報","bào ","to announce  / to inform  / report  / newspaper  / recompense  / revenge  / CL: 份, 張｜张","True"
"纸","紙","zhǐ ","paper  / CL: 張｜张, 沓 / classifier for documents, letter etc","True"
"网","網","wǎng ","net  / network","True"
"手机","手機","shǒu jī ","cell phone  / mobile phone  / CL: 部, 支","True"
"新闻","新聞","xīn wén ","news  / CL: 條｜条, 個｜个","True"
"机","機","Jī <br />jī ","surname Ji<br />machine  / engine  / opportunity  / intention  / aircraft  / pivot  / crucial point  / flexible (quick-witted)  / organic  / CL: 臺｜台","True"
"新","","Xīn <br />xīn ","abbr. for Xinjiang 新疆 or Singapore 新加坡 / surname Xin<br />new  / newly  / meso- (chemistry)","True"
"闻","聞","Wén <br />wén ","surname Wen<br />to hear  / news  / well-known  / famous  / reputation  / fame  / to smell  / to sniff at","True"
"明星","","míng xīng ","star  / celebrity","True"
"体育","體育","tǐ yù ","sports  / physical education","True"
"节目","節目","jié mù ","program  / item (on a program)  / CL: 臺｜台, 個｜个, 套","True"
"韩国","韓國","Hán guó ","South Korea (Republic of Korea)  / Han, one of the Seven Hero States of the Warring States 戰國七雄｜战国七雄 / Korea from the fall of the Joseon dynasty in 1897","True"
"体","體","tǐ ","body  / form  / style  / system  / substance  / to experience  / aspect (linguistics)","True"
"节","節","jiē <br />jié ","see 節骨眼｜节骨眼<br />festival  / holiday  / node  / joint  / section  / segment  / part  / to economize  / to save  / to abridge  / moral integrity  / classifier for segments, e.g. lessons, train wagons, biblical verses  / CL: 個｜个","True"
"韩","韓","Hán ","Han, one of the Seven Hero States of the Warring States 戰國七雄｜战国七雄 / Korea from the fall of the Joseon dynasty in 1897  / Korea, esp. South Korea 大韓民國｜大韩民国 / surname Han","True"
"育","","yù ","to have children  / to raise or bring up  / to educate","True"
"目","","mù ","eye  / item  / section  / list  / catalogue  / table of contents  / order (taxonomy)  / goal  / name  / title","True"
"桌","","zhuō ","table  / desk  / classifier for tables of guests at a banquet etc","True"
"找","","zhǎo ","to try to find  / to look for  / to call on sb  / to find  / to seek  / to return  / to give change","True"
"桌子","","zhuō zi ","table  / desk  / CL: 張｜张, 套","True"
"椅子","","yǐ zi ","chair  / CL: 把, 套","True"
"椅","","yǐ ","chair","True"
"房间","房間","fáng jiān ","room  / CL: 間｜间, 個｜个","True"
"冰箱","","bīng xiāng ","icebox  / freezer cabinet  / refrigerator  / CL: 臺｜台, 個｜个","True"
"外","","wài ","outside  / in addition  / foreign  / external","True"
"房","","Fáng <br />fáng ","surname Fang<br />house  / room  / CL: 間｜间 / branch of an extended family  / classifier for family members (or concubines)","True"
"箱","","xiāng ","box  / trunk  / chest","True"
"位","","wèi ","position  / location  / place  / seat  / classifier for people (honorific)  / classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)  / (physics) potential","True"
"等","","děng ","class  / rank  / grade  / equal to  / same as  / to wait for  / to await  / et cetera  / and so on  / et al. (and other authors)  / after  / as soon as  / once","True"
"一下","","yī xià ","(used after a verb) give it a go  / to do (sth for a bit to give it a try)  / one time  / once  / in a while  / all of a sudden  / all at once","True"
"进","進","jìn ","to go forward  / to advance  / to go in  / to enter  / to put in  / to submit  / to take in  / to admit  / (math.) base of a number system  / classifier for sections in a building or residential compound","True"
"坐","","Zuò <br />zuò ","surname Zuo<br />to sit  / to take a seat  / to take (a bus, airplane etc)  / to bear fruit  / variant of 座","True"
"菜单","菜單","cài dān ","menu  / CL: 份, 張｜张","True"
"英文","","Yīng wén ","English (language)","True"
"菜","","cài ","dish (type of food)  / vegetable  / cuisine  / CL: 盤｜盘, 道 / (coll.) (one's) type  / (of one's skills etc) weak  / poor","True"
"单","單","Shàn <br />dān ","surname Shan<br />bill  / list  / form  / single  / only  / sole  / odd number  / CL: 個｜个","True"
"文","","Wén <br />wén ","surname Wen<br />language  / culture  / writing  / formal  / literary  / gentle  / (old) classifier for coins  / Kangxi radical 67","True"
"服务员","服務員","fú wù yuán ","waiter  / waitress  / attendant  / customer service personnel  / CL: 個｜个, 位","True"
"点菜","點菜","diǎn cài ","to order dishes (in a restaurant)","True"
"买单","買單","mǎi dān ","to pay the restaurant bill","True"
"订位","訂位","dìng wèi ","to reserve a seat  / to book a table  / reservation","True"
"服","","fú <br />fù ","clothes  / dress  / garment  / to serve (in the military, a prison sentence etc)  / to obey  / to be convinced (by an argument)  / to convince  / to admire  / to acclimatize  / to take (medicine)  / mourning clothes  / to wear mourning clothes<br />dose (measure word for medicine)  / Taiwan pr. [fu2]","True"
"务","務","wù ","affair  / business  / matter  / to be engaged in  / to attend to  / by all means","True"
"员","員","yuán ","person  / employee  / member","True"
"订","訂","dìng ","to agree  / to conclude  / to draw up  / to subscribe to (a newspaper etc)  / to order","True"
"些","","xiē ","some  / few  / several  / measure word indicating a small amount or small number (greater than 1)","True"
"西","","Xī <br />xī ","the West  / abbr. for Spain 西班牙 / Spanish<br />west","True"
"东","東","Dōng <br />dōng ","surname Dong<br />east  / host (i.e. sitting on east side of guest)  / landlord","True"
"东西","東西","dōng xī <br />dōng xi ","east and west<br />thing  / stuff  / person  / CL: 個｜个, 件","True"
"超市","","chāo shì ","supermarket  / abbr. for 超級市場｜超级市场 / CL: 家","True"
"水果","","shuǐ guǒ ","fruit  / CL: 個｜个","True"
"超","","chāo ","to exceed  / to overtake  / to surpass  / to transcend  / to pass  / to cross  / ultra-  / super-","True"
"市","","shì ","market  / city  / CL: 個｜个","True"
"果","","guǒ ","fruit  / result  / resolute  / indeed  / if really","True"
"给","給","gěi <br />jǐ ","to  / for  / for the benefit of  / to give  / to allow  / to do sth (for sb)  / (grammatical equivalent of 被)  / (grammatical equivalent of 把)  / (sentence intensifier)<br />to supply  / to provide","True"
"苹果","蘋果","píng guǒ ","apple  / CL: 個｜个, 顆｜颗","True"
"西瓜","","xī guā ","watermelon  / CL: 顆｜颗, 粒, 個｜个","True"
"苹","","píng <br />pín <br />píng ","(artemisia)  / duckweed<br />marsiliaceae  / clover fern<br />apple","True"
"瓜","","guā ","melon  / gourd  / squash","True"
"鸡蛋","雞蛋","jī dàn ","(chicken) egg  / hen's egg  / CL: 個｜个, 打","True"
"新鲜","新鮮","xīn xiān ","fresh (experience, food etc)  / freshness  / novel  / uncommon","True"
"鸡","雞","jī ","fowl  / chicken  / CL: 隻｜只 / (slang) prostitute","True"
"蛋","","dàn ","egg  / CL: 個｜个, 打 / oval-shaped thing","True"
"鲜","鮮","xiān <br />xiǎn <br />xiān ","fresh  / bright (in color)  / delicious  / tasty  / delicacy  / aquatic foods<br />few  / rare<br />fish  / old variant of 鮮｜鲜","True"
"蔬菜","","shū cài ","vegetables  / produce  / CL: 種｜种","True"
"蔬","","shū ","vegetables","True"
"包","","Bāo <br />bāo ","surname Bao<br />to cover  / to wrap  / to hold  / to include  / to take charge of  / to contract (to or for)  / package  / wrapper  / container  / bag  / to hold or embrace  / bundle  / packet  / CL: 個｜个, 隻｜只","True"
"米","","Mǐ <br />mǐ ","surname Mi<br />rice  / CL: 粒 / meter (classifier)","True"
"面包","麵包","miàn bāo ","bread  / CL: 片, 袋, 塊｜块","True"
"袋","","dài ","pouch  / bag  / sack  / pocket","True"
"糖","","táng ","sugar  / sweets  / candy  / CL: 顆｜颗, 塊｜块","True"
"为","為","wéi <br />wèi ","as (in the capacity of)  / to take sth as  / to act as  / to serve as  / to behave as  / to become  / to be  / to do  / by (in the passive voice)<br />because of  / for  / to","True"
"习","習","Xí <br />xí ","surname Xi<br />to practice  / to study  / habit","True"
"学习","學習","xué xí ","to learn  / to study","True"
"中文","","Zhōng wén ","Chinese language","True"
"为什么","為什麼","wèi shén me ","why?  / for what reason?","True"
"因为","因為","yīn wèi ","because  / owing to  / on account of","True"
"所以","","suǒ yǐ ","therefore  / as a result  / so  / the reason why","True"
"西班牙","","Xī bān yá ","Spain","True"
"因","","yīn ","cause  / reason  / because","True"
"所","","suǒ ","actually  / place  / classifier for houses, small buildings, institutions etc  / that which  / particle introducing a relative clause or passive  / CL: 個｜个","True"
"以","","Yǐ <br />yǐ ","abbr. for Israel 以色列<br />to use  / by means of  / according to  / in order to  / because of  / at (a certain date or place)","True"
"牙","","yá ","tooth  / ivory  / CL: 顆｜颗","True"
"旅游","旅遊","lǚ yóu ","trip  / journey  / tourism  / travel  / tour  / to travel","True"
"爱好","愛好","ài hào ","to like  / to take pleasure in  / keen on  / fond of  / interest  / hobby  / appetite for  / CL: 個｜个","True"
"西班牙语","西班牙語","Xī bān yá yǔ ","Spanish language","True"
"轻松","輕鬆","qīng sōng ","light  / gentle  / relaxed  / effortless  / uncomplicated  / to relax  / to take things less seriously","True"
"旅","","lǚ ","trip  / travel  / to travel  / brigade (army)","True"
"轻","輕","qīng ","light  / easy  / gentle  / soft  / reckless  / unimportant  / frivolous  / small in number  / unstressed  / neutral  / to disparage","True"
"松","","Sōng <br />sōng <br />sōng ","surname Song<br />pine  / CL: 棵<br />loose  / to loosen  / to relax","True"
"照相机","照相機","zhào xiàng jī ","camera  / CL: 個｜个, 架, 部, 台, 隻｜只","True"
"印度","","Yìn dù ","India","True"
"拍照","","pāi zhào ","to take a picture","True"
"拍","","pāi ","to pat  / to clap  / to slap  / to swat  / to take (a photo)  / to shoot (a film)  / racket (sports)  / beat (music)","True"
"照","","zhào ","according to  / in accordance with  / to shine  / to illuminate  / to reflect  / to look at (one's reflection)  / to take (a photo)  / photo  / as requested  / as before","True"
"印","","Yìn <br />yìn ","surname Yin  / abbr. for 印度<br />to print  / to mark  / to engrave  / a seal  / a print  / a stamp  / a mark  / a trace  / image","True"
"相","","Xiāng <br />xiāng <br />xiàng ","surname Xiang<br />each other  / one another  / mutually<br />appearance  / portrait  / picture  / government minister  / (physics) phase  / (literary) to appraise (esp. by scrutinizing physical features)  / to read sb's fortune (by physiognomy, palmistry etc)","True"
"度","","dù <br />duó ","to pass  / to spend (time)  / measure  / limit  / extent  / degree of intensity  / degree (angles, temperature etc)  / kilowatt-hour  / classifier for events and occurrences<br />to estimate  / Taiwan pr. [duo4]","True"
"海","","Hǎi <br />hǎi ","surname Hai<br />ocean  / sea  / CL: 個｜个, 片 / great number of people or things  / (dialect) numerous","True"
"本","","běn ","root  / stem  / origin  / source  / this  / the current  / original  / inherent  / originally  / classifier for books, periodicals, files etc","True"
"还","還","Huán <br />hái <br />huán ","surname Huan<br />still  / still in progress  / still more  / yet  / even more  / in addition  / fairly  / passably (good)  / as early as  / even  / also  / else<br />to pay back  / to return","True"
"上海","","Shàng hǎi ","Shanghai municipality, central east China, abbr. to 滬｜沪","True"
"还是","還是","hái shi ","or  / still  / nevertheless  / had better","True"
"日本","","Rì běn ","Japan  / Japanese","True"
"肉","","ròu ","meat  / flesh  / pulp (of a fruit)  / (coll.) (of a fruit) squashy  / (of a person) flabby  / irresolute","True"
"米饭","米飯","mǐ fàn ","(cooked) rice","True"
"面条","麵條","miàn tiáo ","noodles","True"
"鸡肉","雞肉","jī ròu ","chicken meat","True"
"牛肉","","niú ròu ","beef","True"
"猪肉","豬肉","zhū ròu ","pork","True"
"羊肉","","yáng ròu ","mutton  / goat meat","True"
"饮料","飲料","yǐn liào ","drink  / beverage","True"
"猪","豬","zhū ","hog  / pig  / swine  / CL: 口, 頭｜头","True"
"羊","","Yáng <br />yáng ","surname Yang<br />sheep  / goat  / CL: 頭｜头, 隻｜只","True"
"饮","飲","yǐn <br />yìn ","to drink<br />to give (animals) water to drink","True"
"料","","liào ","material  / stuff  / grain  / feed  / to expect  / to anticipate  / to guess","True"
"作","","zuō <br />zuò ","worker  / workshop  / (slang) troublesome  / high-maintenance (person)<br />to do  / to grow  / to write or compose  / to pretend  / to regard as  / to feel  / writings or works","True"
"工","","gōng ","work  / worker  / skill  / profession  / trade  / craft  / labor","True"
"累","","lěi <br />lèi <br />Léi <br />léi ","to accumulate  / to involve or implicate (Taiwan pr. [lei4])  / continuous  / repeated<br />tired  / weary  / to strain  / to wear out  / to work hard<br />surname Lei<br />rope  / to bind together  / to twist around","True"
"工作","","gōng zuò ","to work  / (of a machine) to operate  / job  / work  / task  / CL: 個｜个, 份, 項｜项","True"
"觉得","覺得","jué de ","to think  / to feel","True"
"有点儿","有點兒","yǒu diǎnr ","slightly  / a little  / somewhat","True"
"胖","","pán <br />pàng ","healthy  / at ease<br />fat  / plump","True"
"健康","","jiàn kāng ","health  / healthy","True"
"不要","","bù yào ","don't!  / must not","True"
"健","","jiàn ","healthy  / to invigorate  / to strengthen  / to be good at  / to be strong in","True"
"康","","Kāng <br />kāng ","surname Kang<br />healthy  / peaceful  / abundant","True"
"身体","身體","shēn tǐ ","the body  / one's health  / CL: 具, 個｜个 / in person","True"
"注意","","zhù yì ","to take note of  / to pay attention to","True"
"身","","shēn ","body  / life  / oneself  / personally  / one's morality and conduct  / the main part of a structure or body  / pregnant  / classifier for sets of clothes: suit, twinset  / Kangxi radical 158","True"
"注","","zhù <br />zhù ","to inject  / to pour into  / to concentrate  / to pay attention  / stake (gambling)  / classifier for sums of money  / variant of 註｜注<br />to register  / to annotate  / note  / comment","True"
"意","","Yì <br />yì ","Italy  / Italian  / abbr. for 意大利<br />idea  / meaning  / thought  / to think  / wish  / desire  / intention  / to expect  / to anticipate","True"
"开始","開始","kāi shǐ ","to begin  / beginning  / to start  / initial  / CL: 個｜个","True"
"锻炼","鍛鍊","duàn liàn ","to toughen  / to temper  / to engage in physical exercise  / to work out  / (fig.) to develop one's skills  / to train oneself","True"
"开","開","kāi ","to open  / to start  / to turn on  / to boil  / to write out (a prescription, check, invoice etc)  / to operate (a vehicle)  / carat (gold)  / abbr. for Kelvin, 開爾文｜开尔文 / abbr. for 開本｜开本, book format","True"
"锻","鍛","duàn ","to forge  / to discipline  / wrought","True"
"始","","shǐ ","to begin  / to start  / then  / only then","True"
"炼","煉","liàn ","to refine  / to smelt","True"
"铁","鐵","Tiě <br />tiě ","surname Tie<br />iron (metal)  / arms  / weapons  / hard  / strong  / violent  / unshakeable  / determined  / close  / tight (slang)","True"
"店","","diàn ","inn  / shop  / store  / CL: 家","True"
"地","","de <br />dì ","-ly  / structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct<br />earth  / ground  / field  / place  / land  / CL: 片","True"
"酒","","jiǔ ","wine (esp. rice wine)  / liquor  / spirits  / alcoholic beverage  / CL: 杯, 瓶, 罐, 桶, 缸","True"
"酒店","","jiǔ diàn ","wine shop  / pub (public house)  / hotel  / restaurant  / (Tw) hostess club","True"
"地铁","地鐵","dì tiě ","subway  / metro","True"
"不准","","bù zhǔn ","not to allow  / to forbid  / to prohibit","True"
"准","","zhǔn <br />zhǔn ","to allow  / to grant  / in accordance with  / in the light of<br />accurate  / standard  / definitely  / certainly  / about to become (bride, son-in-law etc)  / quasi-  / para-","True"
"出租车","出租車","chū zū chē ","taxi  / (Taiwan) rental car","True"
"站","","zhàn ","station  / to stand  / to halt  / to stop  / branch of a company or organization  / website","True"
"车","車","Chē <br />chē <br />jū ","surname Che<br />car  / vehicle  / CL: 輛｜辆 / machine  / to shape with a lathe<br />war chariot (archaic)  / rook (in Chinese chess)  / rook (in chess)","True"
"出","","chū ","to go out  / to come out  / to occur  / to produce  / to go beyond  / to rise  / to put forth  / to happen  / (used after a verb to indicate an outward direction or a positive result)  / classifier for dramas, plays, operas etc","True"
"租","","zū ","to hire  / to rent  / to charter  / to rent out  / to lease out  / rent  / land tax","True"
"可以","","kě yǐ ","can  / may  / possible  / able to  / not bad  / pretty good","True"
"汽车","汽車","qì chē ","car  / automobile  / bus  / CL: 輛｜辆","True"
"公共","","gōng gòng ","public  / common  / communal","True"
"船","","chuán ","boat  / vessel  / ship  / CL: 條｜条, 艘, 隻｜只","True"
"公","","gōng ","public  / collectively owned  / common  / international (e.g. high seas, metric system, calendar)  / make public  / fair  / just  / Duke, highest of five orders of nobility 五等爵位 / honorable (gentlemen)  / father-in-law  / male (animal)","True"
"汽","","qì ","steam  / vapor","True"
"件","","jiàn ","item  / component  / classifier for events, things, clothes etc","True"
"衣","","yī <br />yì ","clothes  / CL: 件<br />to dress  / to wear  / to put on (clothes)","True"
"商","","Shāng <br />shāng ","Shang Dynasty (c. 1600-1046 BC)  / surname Shang<br />commerce  / merchant  / dealer  / to consult  / 2nd note in pentatonic scale  / quotient (as in 智商, intelligence quotient)","True"
"商店","","shāng diàn ","store  / shop  / CL: 家, 個｜个","True"
"衣服","","yī fu ","clothes  / CL: 件, 套","True"
"门","門","Mén <br />mén ","surname Men<br />gate  / door  / CL: 扇 / gateway  / doorway  / CL: 個｜个 / opening  / valve  / switch  / way to do something  / knack  / family  / house  / (religious) sect  / school (of thought)  / class  / category  / phylum or division (taxonomy)  / classifier for large guns  / classifier for lessons, subjects, branches of technology  / (suffix) -gate (i.e. scandal; derived from Watergate)","True"
"欢迎","歡迎","huān yíng ","to welcome  / welcome","True"
